concessionaria;ano_do_pnv_snv;rodovia_uf;municipio;sentido;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
ECOVIAS DO ARAGUAIA;2021;BR-153/TO;Talismã;Crescente/Decrescente;778,278;-12,626315;-49,070589;801,87;-12,83541;-49,10234
ECOVIAS DO ARAGUAIA;2021;BR-414/GO;Cocalzinho de Goiás;Crescente/Decrescente;318,937;-15,368191;-48,645892;379,715;-15,823965;-48,778399
ECOVIAS DO ARAGUAIA;2021;BR-414/GO;Corumbá de Goiás;Crescente/Decrescente;379,716;-15,823965;-48,778399;404,2;-16,004876;-48,841756
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Campinorte;Crescente/Decrescente;141,143;-14,012256;-49,085409;182,325;-14,375778;-49,158169
ECOVIAS DO ARAGUAIA;2021;BR-80/GO;Barro Alto;Crescente/Decrescente;117,288;-15,089559;-48,856369;143,747;-14,892238;-48,97406
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Anápolis;Crescente/Decrescente;412,455;-16,130398;-49,046789;442,9;-16,353917;-48,928407
ECOVIAS DO ARAGUAIA;2021;BR-414/GO;Anápolis;Crescente/Decrescente;432,778;-16,219679;-48,92186;442,92;-16,353502;-48,929174
ECOVIAS DO ARAGUAIA;2021;BR-414/GO;Abadiânia;Crescente/Decrescente;404,201;-16,004876;-48,841756;432,777;-16,219679;-48,92186
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Estrela do Norte;Crescente/Decrescente;112,648;-13,764642;-49,028935;130,201;-13,918935;-49,067942
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Hidrolina;Crescente/Decrescente;223,573;-14,725189;-49,233593;235,603;-14,816118;-49,294807
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Pirenópolis;Crescente/Decrescente;392,763;-16,00404;-49,13503;412,454;-16,130398;-49,046789
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Porangatu;Crescente/Decrescente;0;-12,836068;-49,102517;85,511;-13,552955;-49,086475
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Nova Glória;Crescente/Decrescente;259,779;-15,002179;-49,412361;284,638;-15,181364;-49,545017
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Mara Rosa;Crescente/Decrescente;130,202;-13,918935;-49,067942;141,142;-14,012256;-49,085409
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Jaraguá;Crescente/Decrescente;329,166;-15,531245;-49,451691;368,148;-15,831647;-49,278342
ECOVIAS DO ARAGUAIA;2021;BR-80/GO;Vila Propício;Crescente/Decrescente;94,3;-15,208278;-48,699896;117,287;-15,089559;-48,856369
ECOVIAS DO ARAGUAIA;2021;BR-414/GO;Vila Propício;Crescente/Decrescente;300;-15,208606;-48,699865;318,936;-15,368191;-48,645892
ECOVIAS DO ARAGUAIA;2021;BR-80/GO;Uruaçu;Crescente/Decrescente;164,029;-14,743268;-49,069327;181,05;-14,635176;-49,176377
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Uruaçu;Crescente/Decrescente;182,326;-14,375778;-49,158169;223,572;-14,725189;-49,233593
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;São Francisco de Goiás;Crescente/Decrescente;368,149;-15,831647;-49,278342;392,762;-16,00404;-49,13503
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;São Luiz do Norte;Crescente/Decrescente;235,604;-14,816118;-49,294807;259,778;-15,002179;-49,412361
ECOVIAS DO ARAGUAIA;2021;BR-80/GO;Santa Rita do Novo Destino;Crescente/Decrescente;143,748;-14,892238;-48,97406;164,028;-14,743268;-49,069327
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Santa Tereza de Goiás;Crescente/Decrescente;85,512;-13,552955;-49,086475;112,647;-13,764642;-49,028935
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Rialma;Crescente/Decrescente;284,639;-15,181364;-49,545017;316,843;-15,438738;-49,509186
ECOVIAS DO ARAGUAIA;2021;BR-153/GO;Rianápolis;Crescente/Decrescente;316,844;-15,438738;-49,509186;329,165;-15,531245;-49,451691
ECOVIAS DO CERRADO;2020;BR-364/GO;São Simão;Crescente/Decrescente;0;-19,043744;-50,502209;23,67;-18,913493;-50,678822
ECOVIAS DO CERRADO;2020;BR-364/GO;Paranaiguara;Crescente/Decrescente;23,671;-18,913493;-50,678822;39,81;-18,860086;-50,821235
ECOVIAS DO CERRADO;2020;BR-364/GO;Jataí;Crescente/Decrescente;136,571;-18,197849;-51,33133;192,2;-17,916568;-51,693973
ECOVIAS DO CERRADO;2020;BR-364/GO;Cachoeira Alta;Crescente/Decrescente;39,811;-18,860086;-50,821235;113,26;-18,301188;-51,147071
ECOVIAS DO CERRADO;2020;BR-364/GO;Aparecida do Rio Doce;Crescente/Decrescente;113,261;-18,301188;-51,147071;136,57;-18,197849;-51,33133
ECOVIAS DO CERRADO;2020;BR-365/MG;Canápolis;Crescente/Decrescente;728,541;-18,896953;-49,263823;735;-18,905632;-49,324298
ECOVIAS DO CERRADO;2020;BR-365/MG;Gurinhatã;Crescente/Decrescente;787,886;-18,935157;-49,798964;810;-18,890568;-50,000474
ECOVIAS DO CERRADO;2020;BR-365/MG;Ituiutaba;Crescente/Decrescente;735,001;-18,905632;-49,324298;787,885;-18,935157;-49,798964
ECOVIAS DO CERRADO;2020;BR-365/MG;Uberlândia;Crescente/Decrescente;626;-18,906401;-48,33288;652,98;-18,864388;-48,584657
ECOVIAS DO CERRADO;2020;BR-365/MG;Santa Vitória;Crescente/Decrescente;810,001;-18,890568;-50,000474;870,11;-19,043372;-50,503527
ECOVIAS DO CERRADO;2020;BR-365/MG;Monte Alegre de Minas;Crescente/Decrescente;652,981;-18,864388;-48,584657;728,54;-18,896953;-49,263823
ECOVIAS PONTE;2017;Acesso N 01/RJ;Niterói;Crescente;0;-22,880573;-43,107048;0,81;-22,87842;-43,11453
ECOVIAS PONTE;2017;Acesso N 02/RJ;Niterói;Crescente;0;-22,87872;-43,1146;0,967;-22,880668;-43,107049
ECOVIAS PONTE;2017;Acesso N 04/RJ;Niterói;Crescente;0;-22,87872;-43,1146;0,449;-22,882738;-43,115748
ECOVIAS PONTE;2017;Acesso N 05/RJ;Niterói;Crescente;0;-22,880875;-43,109903;0,42;-22,881858;-43,113949
ECOVIAS PONTE;2017;Acesso N 07/RJ;Niterói;Crescente;0;-22,885376;-43,114077;0,837;-22,87842;-43,11453
ECOVIAS PONTE;2017;Acesso N 08/RJ;Niterói;Crescente;0;-22,87872;-43,1146;0,815;-22,885578;-43,115364
ECOVIAS PONTE;2017;Acesso N 09/RJ;Niterói;Crescente;0;-22,877768;-43,110643;0,704;-22,882459;-43,114939
ECOVIAS PONTE;2017;Acesso N 10/RJ;Niterói;Crescente;0;-22,88201;-43,113204;0,377;-22,879608;-43,110867
ECOVIAS PONTE;2017;Acesso N 11/RJ;Niterói;Crescente;0;-22,879952;-43,112499;0,46;-22,878734;-43,1123
ECOVIAS PONTE;2017;Acesso N 11 A/RJ;Niterói;Crescente;0;-22,879125;-43,110943;0,151;-22,879732;-43,11208
ECOVIAS PONTE;2017;Acesso N 12/RJ;Niterói;Crescente;0;-22,878254;-43,110198;0,308;-22,878425;-43,113214
ECOVIAS PONTE;2017;Acesso N 12 A/RJ;Niterói;Crescente;0;-22,878708;-43,112328;0,229;-22,878304;-43,110203
ECOVIAS PONTE;2017;Acesso N 13/RJ;Niterói;Crescente;0;-22,877911;-43,11388;0,42;-22,880689;-43,112911
ECOVIAS PONTE;2017;Acesso N 14/RJ;Niterói;Crescente;0;-22,878195;-43,11047;0,221;-22,878146;-43,109954
ECOVIAS PONTE;2017;Acesso N 15/RJ;Niterói;Crescente;0;-22,878285;-43,110203;0,09;-22,878358;-43,109365
ECOVIAS PONTE;2017;Acesso N 15 A/RJ;Niterói;Crescente;0;-22,878057;-43,109154;0,113;-22,878226;-43,110199
ECOVIAS PONTE;2017;Acesso N 15 B/RJ;Niterói;Crescente;0;-22,878232;-43,109226;0,009;-22,878172;-43,109281
ECOVIAS PONTE;2017;Acesso N 16/RJ;Niterói;Crescente;0;-22,876374;-43,110633;0,317;-22,878358;-43,112908
ECOVIAS PONTE;2017;Acesso N 17/RJ;Niterói;Crescente;0;-22,878324;-43,113141;0,099;-22,877871;-43,113759
ECOVIAS PONTE;2017;Acesso N 18/RJ;Niterói;Crescente;0;-22,878372;-43,112177;0,063;-22,87892;-43,112529
ECOVIAS PONTE;2017;Acesso N 18 A/RJ;Niterói;Crescente;0;-22,878388;-43,112394;0,043;-22,878758;-43,112584
ECOVIAS PONTE;2017;Acesso N 19/RJ;Niterói;Crescente;0;-22,878746;-43,112277;0,212;-22,879171;-43,112049
ECOVIAS PONTE;2017;Acesso N 03/RJ;Niterói;Crescente;321,6;-22,87744;-43,110707;322,067;-22,87842;-43,11453
ECOVIAS PONTE;2017;N João de Deus/RJ;Niterói;Crescente;0;-22,85956;-43,10317;0,627;-22,861923;-43,107368
ECOVIAS PONTE;2017;N Rob Silveira/RJ;Niterói;Crescente;0;-22,89936;-43,1108;1,684;-22,885376;-43,114077
ECOVIAS PONTE;2017;N Boaventura/RJ;Niterói;Crescente;0;-22,88073;-43,10053;0,671;-22,880573;-43,107048
ECOVIAS PONTE;2017;N Quintino/RJ;Niterói;Crescente;0;-22,91399;-43,09624;2,205;-22,89936;-43,1108
ECOVIAS PONTE;2017;BR-101/RJ;Niterói;Decrescente;326,5;-22,87116;-43,15585;322,067;-22,87872;-43,1146
ECOVIAS PONTE;2017;BR-101/RJ;Niterói;Crescente;322,067;-22,87842;-43,11453;326,5;-22,87102;-43,15583
ECOVIAS PONTE;2017;BR-101/RJ;Niterói;Crescente;317,176;-22,84148;-43,0967;321,6;-22,87744;-43,110707
ECOVIAS PONTE;2017;Acesso R 4 A/RJ;Rio de Janeiro;Crescente;0;-22,889744;-43,21593;0,56;-22,88483;-43,21672
ECOVIAS PONTE;2017;R Rio de Janeiro/RJ;Rio de Janeiro;Crescente;0;-22,889744;-43,21593;0,719;-22,895674;-43,213119
ECOVIAS PONTE;2017;R Elevado Perimetral/RJ;Rio de Janeiro;Crescente;0;-22,89171;-43,21502;0,24;-22,889744;-43,21593
ECOVIAS PONTE;2017;R Bicalho/RJ;Rio de Janeiro;Crescente;0;-22,90655;-43,20956;1,756;-22,891858;-43,21487
ECOVIAS PONTE;2017;Acesso R 2/RJ;Rio de Janeiro;Crescente;333,624;-22,88484;-43,21694;334,386;-22,888895;-43,221387
ECOVIAS PONTE;2017;Acesso R 2 A/RJ;Rio de Janeiro;Decrescente;333,939;-22,887875;-43,21761;333,624;-22,88483;-43,21672
ECOVIAS PONTE;2017;Acesso R 1/RJ;Rio de Janeiro;Crescente;0;-22,88484;-43,21694;0,669;-22,894015;-43,215458
ECOVIAS PONTE;2017;Acesso R 1 A/RJ;Rio de Janeiro;Crescente;0;-22,88484;-43,21694;1,02;-22,890453;-43,21723
ECOVIAS PONTE;2017;Acesso R 4/RJ;Rio de Janeiro;Crescente;0;-22,891858;-43,21487;0,827;-22,88483;-43,21672
ECOVIAS PONTE;2017;Acesso N 06/RJ;Rio de Janeiro;Decrescente;0;-22,87872;-43,1146;0,726;-22,878205;-43,110546
ECOVIAS PONTE;2017;BR-101/RJ;Rio de Janeiro;Decrescente;335,397;-22,88609;-43,22932;333,939;-22,887875;-43,21761
ECOVIAS PONTE;2017;BR-101/RJ;Rio de Janeiro;Decrescente;333,623;-22,88483;-43,21672;326,501;-22,87116;-43,15585
ECOVIAS PONTE;2017;BR-101/RJ;Rio de Janeiro;Crescente;326,501;-22,87102;-43,15583;333,623;-22,88484;-43,21694
ECOVIAS PONTE;2017;Acesso R3/RJ;Rio de Janeiro;Crescente;0;-22,525577;-43,124957;2,5;-22,523198;-43,135585
ECOVIAS PONTE;2017;Acesso R5A/RJ;Rio de Janeiro;Crescente;0;-22,525292;-43,12512;2,588;-22,525389;-43,140854
ECOVIAS PONTE;2017;Acesso R5B/RJ;Rio de Janeiro;Decrescente;0;-22,524913;-43,140365;2,236;-22,525242;-43,125043
ECOVIAS RIO MINAS;2021;BR-116/RJ;São João de Meriti;Crescente/Decrescente;172,351;-22,802765;-43,348967;178,03;-22,802753;-43,348847
ECOVIAS RIO MINAS;2021;BR-116/RJ;São José do Vale do Rio Preto;Crescente/Decrescente;38,811;-22,120433;-42,779317;40,39;-22,1335;-42,779319
ECOVIAS RIO MINAS;2021;BR-116/RJ;Sapucaia;Crescente/Decrescente;2,1;-21,880164;-42,681417;38,81;-22,120433;-42,779317
ECOVIAS RIO MINAS;2021;BR-493/RJ;Seropédica;Crescente/Decrescente;87,201;-22,665725;-43,636067;111,09;-22,808397;-43,796742
ECOVIAS RIO MINAS;2021;BR-465/RJ;Seropédica;Crescente/Decrescente;0;-22,711886;-43,735131;15,64;-22,811681;-43,629175
ECOVIAS RIO MINAS;2021;BR-116/RJ;Seropédica;Crescente/Decrescente;204,961;-22,727683;-43,640494;214,7;-22,713406;-43,734036
ECOVIAS RIO MINAS;2021;BR-116/RJ;Rio de Janeiro;Crescente/Decrescente;168,72;-22,820733;-43,319989;172,35;-22,802765;-43,348967
ECOVIAS RIO MINAS;2021;BR-116/RJ;Magé;Crescente/Decrescente;115,161;-22,583747;-43,015225;140,5;-22,646791;-43,213404
ECOVIAS RIO MINAS;2021;BR-493/RJ;Magé;Crescente/Decrescente;19,001;-22,665956;-43,028436;25,37;-22,656431;-43,088356
ECOVIAS RIO MINAS;2021;BR-116/RJ;Nova Iguaçu;Crescente/Decrescente;180,481;-22,764767;-43,416414;193,47;-22,738778;-43,532381
ECOVIAS RIO MINAS;2021;BR-493/RJ;Nova Iguaçu;Crescente/Decrescente;58,341;-22,670389;-43,380694;77,37;-22,670194;-43,549433
ECOVIAS RIO MINAS;2021;BR-465/RJ;Nova Iguaçu;Crescente/Decrescente;15,641;-22,811681;-43,629175;21,74;-22,858606;-43,601772
ECOVIAS RIO MINAS;2021;BR-493/RJ;Japeri;Crescente/Decrescente;77,371;-22,670016;-43,549379;87,2;-22,665725;-43,636067
ECOVIAS RIO MINAS;2021;BR-116/RJ;Queimados;Crescente/Decrescente;193,471;-22,738778;-43,532381;204,96;-22,727683;-43,640494
ECOVIAS RIO MINAS;2021;BR-116/RJ;Teresópolis;Crescente/Decrescente;40,391;-22,1335;-42,779319;93,12;-22,462594;-42,987571
ECOVIAS RIO MINAS;2021;BR-465/RJ;Rio de Janeiro;Crescente/Decrescente;21,741;-22,858606;-43,601772;23,16;-22,868914;-43,596681
ECOVIAS RIO MINAS;2021;BR-116/RJ;Belford Roxo;Crescente/Decrescente;178,031;-22,802753;-43,348847;180,48;-22,764767;-43,416414
ECOVIAS RIO MINAS;2021;BR-493/RJ;Itaboraí;Crescente/Decrescente;0;-22,770669;-42,922831;7,99;-22,712935;-42,953392
ECOVIAS RIO MINAS;2021;BR-493/RJ;Itaguaí;Crescente/Decrescente;111,091;-22,808397;-43,796742;122,7;-22,903403;-43,825194
ECOVIAS RIO MINAS;2021;BR-116/RJ;Duque de Caxias;Crescente/Decrescente;140,501;-22,646791;-43,213404;148,65;-22,672;-43,285778
ECOVIAS RIO MINAS;2021;BR-493/RJ;Duque de Caxias;Crescente/Decrescente;48,1;-22,671876;-43,285772;58,34;-22,670389;-43,380694
ECOVIAS RIO MINAS;2021;BR-493/RJ;Guapimirim;Crescente/Decrescente;7,991;-22,712935;-42,953392;19;-22,665956;-43,028436
ECOVIAS RIO MINAS;2021;Acesso Guapimirim /RJ;Guapimirim;Crescente;0;-22,3949;-42,5944;0,04;-22,3948;-42,5943
ECOVIAS RIO MINAS;2021;Acesso Guapimirim B/RJ;Guapimirim;Decrescente;0;-22,3949;-42,5943;0,04;-22,3948;-42,5943
ECOVIAS RIO MINAS;2021;BR-116/RJ;Guapimirim;Crescente/Decrescente;93,121;-22,462594;-42,987571;115,16;-22,583747;-43,015225
ECOVIAS RIO MINAS;2021;BR-116/MG;Ubaporanga;Crescente/Decrescente;505,741;-19,612092;-42,113275;518,28;-19,715306;-42,126322
ECOVIAS RIO MINAS;2021;BR-116/MG;Muriaé;Crescente/Decrescente;681,611;-20,957494;-42,349786;723,33;-21,274603;-42,4071
ECOVIAS RIO MINAS;2021;BR-116/MG;Laranjal;Crescente/Decrescente;723,331;-21,274603;-42,4071;739,79;-21,393292;-42,490825
ECOVIAS RIO MINAS;2021;BR-116/MG;Miradouro;Crescente/Decrescente;667,351;-20,850481;-42,321347;681,61;-20,957494;-42,349786
ECOVIAS RIO MINAS;2021;BR-116/MG;Orizânia;Crescente/Decrescente;613,581;-20,452678;-42,170867;629,83;-20,590672;-42,208169
ECOVIAS RIO MINAS;2021;BR-116/MG;Santa Rita de Minas;Crescente/Decrescente;532,021;-19,831969;-42,138822;542,02;-19,909761;-42,135367
ECOVIAS RIO MINAS;2021;BR-116/MG;Santa Bárbara do Leste;Crescente/Decrescente;542,021;-19,909761;-42,135367;554,23;-20,009081;-42,144964
ECOVIAS RIO MINAS;2021;BR-116/MG;Tarumirim;Crescente/Decrescente;461,001;-19,244864;-42,057533;475,73;-19,362281;-42,098136
ECOVIAS RIO MINAS;2021;BR-116/MG;São João do Manhuaçu;Crescente/Decrescente;593,721;-20,291472;-42,147361;613,58;-20,452678;-42,170867
ECOVIAS RIO MINAS;2021;BR-116/MG;Santo Antônio do Aventureiro;Crescente/Decrescente;788,475;-21,665856;-42,730297;788,95;-21,669561;-42,732472
ECOVIAS RIO MINAS;2021;BR-116/MG;São Francisco do Glória;Crescente/Decrescente;651,781;-20,739133;-42,285117;667,35;-20,850481;-42,321347
ECOVIAS RIO MINAS;2021;BR-116/MG;Governador Valadares;Crescente/Decrescente;408,58;-18,846119;-41,980664;419,66;-18,930017;-41,939775
ECOVIAS RIO MINAS;2021;BR-116/MG;Fervedouro;Crescente/Decrescente;639,461;-20,651889;-42,246906;651,78;-20,739133;-42,285117
ECOVIAS RIO MINAS;2021;BR-116/MG;Inhapim;Crescente/Decrescente;482,781;-19,420817;-42,119306;505,74;-19,612092;-42,113275
ECOVIAS RIO MINAS;2021;BR-116/MG;Manhuaçu;Crescente/Decrescente;554,231;-20,009081;-42,144964;586,574;-20,243358;-42,158603
ECOVIAS RIO MINAS;2021;BR-116/MG;Manhuaçu;Crescente/Decrescente;588,7;-20,249853;-42,142389;593,72;-20,291472;-42,147361
ECOVIAS RIO MINAS;2021;BR-116/MG;Leopoldina;Crescente/Decrescente;739,791;-21,393292;-42,490825;788,36;-21,665256;-42,729408
ECOVIAS RIO MINAS;2021;BR-116/MG;Divino;Crescente/Decrescente;629,831;-20,590672;-42,208169;639,46;-20,651889;-42,246906
ECOVIAS RIO MINAS;2021;BR-116/MG;Dom Cavati;Crescente/Decrescente;475,731;-19,362281;-42,098136;482,78;-19,420817;-42,119306
ECOVIAS RIO MINAS;2021;BR-116/MG;Engenheiro Caldas;Crescente/Decrescente;429,801;-18,997614;-41,977872;461;-19,244864;-42,057533
ECOVIAS RIO MINAS;2021;BR-116/MG;Caratinga;Crescente/Decrescente;518,281;-19,715306;-42,126322;532,02;-19,831969;-42,138822
ECOVIAS RIO MINAS;2021;BR-116/MG;Além Paraíba;Crescente/Decrescente;788,361;-21,665256;-42,729408;788,474;-21,665856;-42,730297
ECOVIAS RIO MINAS;2021;BR-116/MG;Além Paraíba;Crescente/Decrescente;788,951;-21,669561;-42,732472;816,32;-21,871533;-42,668206
ECOVIAS RIO MINAS;2021;BR-116/MG;Alpercata;Crescente/Decrescente;419,661;-18,930017;-41,939775;429,8;-18,997614;-41,977872
ELOVIAS;2020;BR-40/MG;Juiz de Fora;Crescente/Decrescente;776,1;-21,645331;-43,435711;802,56;-21,825694;-43,374744
ELOVIAS;2020;BR-40/MG;Simão Pereira;Crescente/Decrescente;817,481;-21,913906;-43,320322;831,4;-22,010981;-43,267742
ELOVIAS;2020;BR-40/MG;Matias Barbosa;Crescente/Decrescente;802,561;-21,825694;-43,374744;817,48;-21,913906;-43,320322
ELOVIAS;2020;BR-40/RJ;Areal;Crescente/Decrescente;30,001;-22,187569;-43,165508;45,655;-22,281562;-43,119039
ELOVIAS;2020;BR-40/RJ;Comendador Levy Gasparian;Crescente/Decrescente;0;-22,01129;-43,266851;13;-22,064022;-43,196281
ELOVIAS;2020;BR-40/RJ;Duque de Caxias;Crescente/Decrescente;92,001;-22,565324;-43,239291;124,5;-22,810563;-43,288514
ELOVIAS;2020;BR-40/RJ;Três Rios;Crescente/Decrescente;13,001;-22,064022;-43,196281;30;-22,187569;-43,165508
ELOVIAS;2020;BR-40/RJ;Petrópolis;Crescente/Decrescente;45,656;-22,281562;-43,119039;92;-22,565324;-43,239291
ELOVIAS;2020;BR-495/RJ;Petrópolis;Crescente;34,4;-22,224397;-43,075219;34,5;-22,224622;-43,075092
ELOVIAS;2020;BR-40/RJ;Rio de Janeiro;Crescente/Decrescente;124,501;-22,810563;-43,288514;125,2;-22,816202;-43,289005
EPR IGUAÇU;2019;BR-163/PR;Cascavel;Crescente/Decrescente;196,546;-25,031799;-53,548778;197,424;-25,023865;-53,550525
EPR IGUAÇU;2019;BR-277/PR;Cascavel;Crescente/Decrescente;552,201;-25,093946;-53,128201;552,274;-25,093899;-53,128159
EPR IGUAÇU;2019;BR-277/PR;Cascavel;Crescente/Decrescente;552,275;-25,093899;-53,128159;604,675;-25,026961;-53,554693
EPR IGUAÇU;2019;BR-277/PR;Catanduvas;Crescente/Decrescente;546,611;-25,100638;-53,078814;552,2;-25,093946;-53,128201
EPR IGUAÇU;2019;BR-277/PR;Céu Azul;Crescente/Decrescente;613,596;-25,053464;-53,635909;649,875;-25,180438;-53,922018
EPR IGUAÇU;2019;BR-277/PR;Foz do Iguaçu;Crescente/Decrescente;719,301;-25,480393;-54,486133;731,624;-25,509492;-54,598161
EPR IGUAÇU;2019;BR-277/PR;Foz do Iguaçu;Crescente/Decrescente;731,625;-25,509492;-54,598161;731,95;-25,509492;-54,598161
EPR IGUAÇU;2019;BR-277/PR;Foz do Iguaçu;Crescente/Decrescente;731,951;-25,509492;-54,598161;732,224;-25,509492;-54,598161
EPR IGUAÇU;2019;Acesso 1 BR-277/PR;Foz do Iguaçu;Crescente/Decrescente;0;-25,492606;-54,51541;14,621;-25,588656;-54,589558
EPR IGUAÇU;2019;Acesso 1 BR-277/PR;Foz do Iguaçu;Crescente/Decrescente;14,622;-25,588656;-54,589558;15,021;-25,588656;-54,589558
EPR IGUAÇU;2019;BR-469/PR;Foz do Iguaçu;Crescente/Decrescente;1,8;-25,582162;-54,563563;2,247;-25,586932;-54,562845
EPR IGUAÇU;2019;BR-469/PR;Foz do Iguaçu;Crescente/Decrescente;2,248;-25,586932;-54,562845;2,487;-25,588285;-54,561918
EPR IGUAÇU;2019;BR-277/PR;Ibema;Crescente/Decrescente;535,726;-25,102413;-52,985925;546,61;-25,100638;-53,078814
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;520,066;-26,005282;-53,367435;520,69;-26,009759;-53,363359
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;518,771;-26,000154;-53,378195;519,8;-26,003626;-53,369327
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;531,551;-26,065101;-53,290279;536,085;-26,088334;-53,260579
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;521,036;-26,012425;-53,361411;524,755;-26,023571;-53,32911
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;525,541;-26,029282;-53,324475;527,295;-26,040371;-53,312448
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;527,536;-26,042356;-53,312013;530,15;-26,058465;-53,301671
EPR IGUAÇU;2019;182/PR;Francisco Beltrão;Crescente/Decrescente;530,336;-26,059807;-53,300487;531,03;-26,062464;-53,294388
EPR IGUAÇU;2019;483/PR;Francisco Beltrão;Crescente/Decrescente;0;-26,114533;-53,041471;26,336;-26,088334;-53,260579
EPR IGUAÇU;2019;180/PR;Francisco Beltrão;Crescente/Decrescente;499,87;-26,114533;-53,041471;500,27;-26,117374;-53,039288
EPR IGUAÇU;2019;BR-277/PR;Diamante do Sul;Crescente;506,651;-25,132725;-52,719582;507,355;-25,131201;-52,726241
EPR IGUAÇU;2019;BR-277/PR;Guaraniaçu;Crescente/Decrescente;532,941;-25,094561;-52,95973;534,18;-25,098103;-52,971427
EPR IGUAÇU;2019;BR-277/PR;Guaraniaçu;Decrescente;532,086;-25,091789;-52,951852;532,94;-25,094561;-52,95973
EPR IGUAÇU;2019;BR-277/PR;Guaraniaçu;Decrescente;506,651;-25,132725;-52,719582;507,355;-25,131201;-52,726241
EPR IGUAÇU;2019;BR-277/PR;Guaraniaçu;Crescente/Decrescente;501,731;-25,164275;-52,69118;506,65;-25,132725;-52,719582
EPR IGUAÇU;2019;BR-277/PR;Guaraniaçu;Crescente/Decrescente;507,356;-25,131201;-52,726241;531,82;-25,091742;-52,949348
EPR IGUAÇU;2019;BR-277/PR;Guaraniaçu;Decrescente;495,821;-25,200657;-52,654523;501,73;-25,164275;-52,69118
EPR IGUAÇU;2019;BR-277/PR;Guarapuava;Crescente/Decrescente;313,256;-25,31537;-51,198341;384,54;-25,418598;-51,781141
EPR IGUAÇU;2019;182/PR;Ampére;Crescente/Decrescente;494,011;-25,828531;-53,520204;518,77;-26,000154;-53,378195
EPR IGUAÇU;2019;182/PR;Ampére;Crescente/Decrescente;519,801;-26,003626;-53,369327;520,065;-26,005282;-53,367435
EPR IGUAÇU;2019;182/PR;Ampére;Crescente/Decrescente;520,691;-26,009759;-53,363359;521,035;-26,012425;-53,361411
EPR IGUAÇU;2019;BR-277/PR;Campo Bonito;Crescente/Decrescente;531,821;-25,091742;-52,949348;532,085;-25,091789;-52,951852
EPR IGUAÇU;2019;BR-277/PR;Campo Bonito;Crescente/Decrescente;534,181;-25,098103;-52,971427;535,725;-25,102413;-52,985925
EPR IGUAÇU;2019;BR-277/PR;Campo Bonito;Crescente;532,086;-25,091789;-52,951852;532,94;-25,094561;-52,95973
EPR IGUAÇU;2019;BR-277/PR;Candói;Crescente/Decrescente;384,541;-25,418598;-51,781141;384,579;-25,418558;-51,781108
EPR IGUAÇU;2019;BR-277/PR;Candói;Crescente/Decrescente;384,58;-25,418558;-51,781108;417,45;-25,419314;-52,066971
EPR IGUAÇU;2019;BR-277/PR;Cantagalo;Crescente/Decrescente;417,451;-25,419314;-52,066971;430,94;-25,386114;-52,169426
EPR IGUAÇU;2019;BR-163/PR;Capitão Leônidas Marques;Crescente/Decrescente;128,756;-25,563364;-53,578674;145,285;-25,433993;-53,576735
EPR IGUAÇU;2019;BR-163/PR;Capitão Leônidas Marques;Decrescente;145,286;-25,433993;-53,576735;145,77;-25,429761;-53,577665
EPR IGUAÇU;2019;BR-163/PR;Santa Tereza do Oeste;Crescente/Decrescente;179,376;-25,160813;-53,597607;196,545;-25,031799;-53,548778
EPR IGUAÇU;2019;BR-277/PR;Santa Tereza do Oeste;Crescente/Decrescente;604,676;-25,026961;-53,554693;613,595;-25,053464;-53,635909
EPR IGUAÇU;2019;BR-277/PR;Santa Terezinha de Itaipu;Crescente/Decrescente;706,901;-25,433037;-54,374579;719,3;-25,480393;-54,486133
EPR IGUAÇU;2019;BR-163/PR;Realeza;Crescente/Decrescente;123,7;-25,603889;-53,562894;128,755;-25,563364;-53,578674
EPR IGUAÇU;2019;182/PR;Realeza;Crescente/Decrescente;466,75;-25,604375;-53,562999;494,01;-25,828531;-53,520204
EPR IGUAÇU;2019;280/PR;Renascença;Crescente/Decrescente;234,596;-26,203393;-52,849508;251,095;-26,147944;-52,98648
